mode	run_no	elapsed_sec	status
indiv_sum	1	17.041	200,200,200,200,200,500,200,200,500,200
indiv_sum	2	15.216	200,200,200,200,200,500,200,200,500,200
indiv_sum	3	15.126	200,200,200,200,200,500,200,200,500,200
bundle	1	4.156	200
bundle	2	4.361	200
bundle	3	4.652	200
